,Distance,speed,speed (km/h),dx,t(s)
2986,2547.0,57.575653624694866,207.27235304890152,0.0,0.0
2987,2548.0,57.57119164768083,207.25628993165097,1.0,0.017369798529092692
2988,2549.0,57.56673856462071,207.24025883263454,1.0,0.01737114217227131
2989,2550.0,57.5622943591064,207.22425969278305,1.0,0.01737248334406947
2990,2551.0,57.55785901475503,207.2082924531181,1.0,0.0173738220482393
2991,2551.0,57.55785901475503,207.2082924531181,0.0,0.0
2992,2552.0,57.55343251520892,207.1923570547521,1.0,0.017375158288530274
2993,2553.0,57.54901484413558,207.17645343888807,1.0,0.017376492068689218
2994,2554.0,57.54460598522767,207.1605815468196,1.0,0.017377823392460294
2995,2555.0,57.540205922203015,207.14474131993086,1.0,0.01737915226358497
2996,2555.0,57.540205922203015,207.14474131993086,0.0,0.0
2997,2556.0,57.535814638804545,207.12893269969638,1.0,0.017380478685802052
2998,2557.0,57.5314321188003,207.1131556276811,1.0,0.017381802662847615
2999,2558.0,57.52705834598341,207.0974100455403,1.0,0.017383124198455054
3000,2559.0,57.52269330417206,207.0816958950194,1.0,0.017384443296355023
3001,2560.0,57.518336977209465,207.06601311795407,1.0,0.017385759960275464
3002,2560.0,57.518336977209465,207.06601311795407,0.0,0.0
3003,2561.0,57.51398934896388,207.05036165626998,1.0,0.017387074193941567
3004,2562.0,57.509650403328564,207.03474145198282,1.0,0.01738838600107577
3005,2563.0,57.50532012422175,207.01915244719828,1.0,0.017389695385397762
3006,2564.0,57.500998495586614,207.00359458411182,1.0,0.017391002350624452
3007,2564.0,57.500998495586614,207.00359458411182,0.0,0.0
3008,2565.0,57.496685501391305,206.9880678050087,1.0,0.017392306900469976
3009,2566.0,57.49238112562887,206.97257205226393,1.0,0.01739360903864567
3010,2567.0,57.48808535231725,206.9571072683421,1.0,0.01739490876886008
3011,2568.0,57.48379816549928,206.9416733957974,1.0,0.017396206094818935
3012,2569.0,57.47951954924265,206.92627037727357,1.0,0.01739750102022514
3013,2569.0,57.47951954924265,206.92627037727357,0.0,0.0
3014,2570.0,57.47524948763988,206.91089815550356,1.0,0.017398793548778786
3015,2571.0,57.470987964808295,206.89555667330987,1.0,0.01740008368417711
3016,2572.0,57.46673496489004,206.88024587360414,1.0,0.01740137143011451
3017,2573.0,57.462490472052004,206.86496569938723,1.0,0.017402656790282512
3018,2574.0,57.458254470485855,206.8497160937491,1.0,0.017403939768369788
3019,2574.0,57.458254470485855,206.8497160937491,0.0,0.0
3020,2575.0,57.45402694440797,206.8344969998687,1.0,0.01740522036806213
3021,2576.0,57.449807878059445,206.819308361014,1.0,0.017406498593042437
3022,2577.0,57.44559725570607,206.80415012054186,1.0,0.017407774446990713
3023,2578.0,57.441395061638296,206.78902222189788,1.0,0.017409047933584065
3024,2579.0,57.43720128017122,206.7739246086164,1.0,0.01741031905649667
3025,2579.0,57.43720128017122,206.7739246086164,0.0,0.0
3026,2580.0,57.43301589564457,206.75885722432048,1.0,0.017411587819399797
3027,2581.0,57.42883889242267,206.7438200127216,1.0,0.017412854225961776
3028,2582.0,57.424670254894416,206.7288129176199,1.0,0.01741411827984799
3029,2583.0,57.42050996747329,206.71383588290385,1.0,0.017415379984720876
3030,2584.0,57.4163580145973,206.69888885255028,1.0,0.017416639344239912
3031,2584.0,57.4163580145973,206.69888885255028,0.0,0.0
3032,2585.0,57.41221438072896,206.68397177062425,1.0,0.017417896362061605
3033,2586.0,57.4080790503553,206.66908458127907,1.0,0.017419151041839484
3034,2587.0,57.4039520079878,206.65422722875607,1.0,0.017420403387224094
3035,2588.0,57.399833238162415,206.6393996573847,1.0,0.01742165340186298
3036,2588.0,57.399833238162415,206.6393996573847,0.0,0.0
3037,2589.0,57.39572272543952,206.62460181158227,1.0,0.017422901089400686
3038,2590.0,57.39162045440389,206.60983363585402,1.0,0.01742414645347875
3039,2591.0,57.3875264096647,206.59509507479294,1.0,0.017425389497735675
3040,2592.0,57.38344057585548,206.58038607307972,1.0,0.017426630225806948
3041,2592.0,57.38344057585548,206.58038607307972,0.0,0.0
3042,2593.0,57.37936293763411,206.5657065754828,1.0,0.01742786864132501
3043,2594.0,57.37529347968279,206.55105652685805,1.0,0.017429104747919255
3044,2595.0,57.371232186708006,206.53643587214881,1.0,0.01743033854921603
3045,2595.0,57.371232186708006,206.53643587214881,0.0,0.0
3046,2596.0,57.36717904344054,206.52184455638593,1.0,0.01743157004883861
3047,2597.0,57.36313403463541,206.50728252468747,1.0,0.0174327992504072
3048,2598.0,57.35909714507188,206.49274972225876,1.0,0.017434026157538935
3049,2598.0,57.35909714507188,206.49274972225876,0.0,0.0
3050,2599.0,57.35506835955341,206.47824609439226,1.0,0.017435250773847853
3051,2600.0,57.35104766290765,206.46377158646754,1.0,0.017436473102944897
3052,2601.0,57.34703503998644,206.44932614395117,1.0,0.017437693148437905
3053,2601.0,57.34703503998644,206.44932614395117,0.0,0.0
3054,2602.0,57.343030475665714,206.43490971239657,1.0,0.017438910913931616
3055,2603.0,57.339033954845576,206.4205222374441,1.0,0.01744012640302763
3056,2603.0,57.339033954845576,206.4205222374441,0.0,0.0
3057,2604.0,57.335045462450196,206.40616366482072,1.0,0.01744133961932443
3058,2605.0,57.33106498342782,206.39183394034018,1.0,0.01744255056641737
3059,2606.0,57.32709250275077,206.37753300990278,1.0,0.017443759247898646
3060,2606.0,57.32709250275077,206.37753300990278,0.0,0.0
3061,2607.0,57.323128005415384,206.3632608194954,1.0,0.017444965667357315
3062,2608.0,57.319171476441994,206.3490173151912,1.0,0.01744616982837927
3063,2608.0,57.319171476441994,206.3490173151912,0.0,0.0
3064,2609.0,57.31522290087494,206.3348024431498,1.0,0.01744737173454724
3065,2610.0,57.311282263782516,206.32061614961705,1.0,0.01744857138944077
3066,2610.0,57.311282263782516,206.32061614961705,0.0,0.0
3067,2611.0,57.307349550256944,206.306458380925,1.0,0.017449768796636247
3068,2612.0,57.30342474541437,206.29232908349172,1.0,0.017450963959706852
3069,2612.0,57.30342474541437,206.29232908349172,0.0,0.0
3070,2613.0,57.29950783439483,206.27822820382139,1.0,0.017452156882222573
3071,2614.0,57.29559880236225,206.2641556885041,1.0,0.01745334756775019
3072,2614.0,57.29559880236225,206.2641556885041,0.0,0.0
3073,2615.0,57.29169763450439,206.2501114842158,1.0,0.017454536019853282
