"Format","MoTeC CSV",,,"Workbook","Samples"
"Venue","Interlagos",,,"Worksheet","Graph"
"Vehicle","SupV8: Calvin Klos #10",,,"Vehicle Desc","SupV8: Calvin Klos #10"
"Driver","Joao Guilherme",,,"Engine ID",""
"Device","ADL"
"Comment","(Exported from rFactor Data Acquisition Plugin v1.3.2.0)",,,"Session",""
"Log Date","21/03/2020",,,"Origin Time","0.000","s"
"Log Time","01:18",,,"Start Time","0.000","s"
"Sample Rate","102.400","Hz",,"End Time","318.896","s"
"Duration","318.896","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","11163","m"

"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"s","m","rpm","km/h","%","G","G"


"2.803","5","1861","17.5","19.05","0.211","-0.229"
"2.813","5","1860","17.6","19.05","0.212","-0.229"
"2.822","5","1859","17.7","19.05","0.212","-0.229"
"2.832","5","1858","17.8","19.05","0.212","-0.229"
"2.842","5","1857","17.8","19.05","0.213","-0.229"
"2.852","5","1857","17.9","19.05","0.213","-0.229"
"2.861","5","1856","18.0","19.05","0.212","-0.229"
"2.871","5","1855","18.1","19.05","0.212","-0.229"
"2.881","5","1854","18.2","19.05","0.211","-0.229"
"2.891","5","1853","18.3","19.05","0.210","-0.230"
"2.900","5","1852","18.4","19.05","0.209","-0.230"
"2.910","5","1852","18.4","19.05","0.208","-0.230"
"2.920","5","1851","18.5","19.05","0.207","-0.230"
"2.930","5","1850","18.6","19.05","0.205","-0.231"
"2.939","5","1849","18.7","19.05","0.203","-0.231"
"2.949","5","1849","18.8","19.05","0.200","-0.232"
"2.959","5","1848","18.9","19.05","0.195","-0.233"
"2.969","5","1848","19.0","19.05","0.188","-0.235"
"2.979","5","1847","19.1","19.05","0.217","-0.228"
"2.988","6","1846","19.1","19.05","0.371","-0.191"
"2.998","6","1846","19.2","19.05","0.280","-0.212"
"3.008","6","1845","19.3","19.05","0.261","-0.216"
"3.018","6","1845","19.4","19.05","0.260","-0.217"
"3.027","6","1844","19.5","19.05","0.264","-0.217"
"3.037","6","1844","19.6","19.05","0.270","-0.217"
"3.047","6","1843","19.7","19.05","0.277","-0.216"
"3.057","6","1843","19.7","19.05","0.284","-0.215"
"3.066","6","1842","19.8","19.05","0.294","-0.210"
"3.076","6","1842","19.9","19.05","0.305","-0.211"
"3.086","6","1841","20.0","19.05","0.312","-0.211"
"3.096","6","1841","20.1","19.05","0.317","-0.209"
"3.105","6","1841","20.2","19.05","0.320","-0.209"
"3.115","6","1840","20.3","19.05","0.322","-0.209"
"3.125","6","1840","20.3","19.05","0.322","-0.210"
"3.135","6","1839","20.4","19.05","0.320","-0.210"
"3.145","6","1839","20.5","19.05","0.317","-0.211"
"3.154","6","1839","20.6","19.05","0.312","-0.211"
"3.164","7","1838","20.7","19.05","0.307","-0.212"
"3.174","7","1838","20.8","19.05","0.296","-0.213"
"3.184","7","1838","20.9","19.05","0.287","-0.214"
"3.193","7","1838","20.9","19.05","0.279","-0.214"
"3.203","7","1837","21.0","19.05","0.272","-0.213"
"3.213","7","1837","21.1","19.05","0.269","-0.213"
"3.223","7","1837","21.2","19.05","0.268","-0.213"
"3.232","7","1836","21.3","19.05","0.266","-0.212"
"3.242","7","1836","21.4","19.05","0.268","-0.211"
"3.252","7","1836","21.4","19.05","0.269","-0.211"
"3.262","7","1836","21.5","19.05","0.272","-0.211"
"3.271","7","1835","21.6","19.05","0.277","-0.210"
"3.281","7","1835","21.7","19.05","0.284","-0.210"
"3.291","7","1835","21.8","19.05","0.291","-0.209"
"3.301","7","1835","21.9","19.05","0.299","-0.209"
"3.311","7","1835","21.9","19.05","0.307","-0.209"
"3.320","7","1834","22.0","19.05","0.314","-0.209"
"3.330","8","1834","22.1","19.05","0.319","-0.209"
"3.340","8","1834","22.2","19.05","0.324","-0.209"
"3.350","8","1834","22.3","19.05","0.328","-0.209"
"3.359","8","1834","22.4","19.05","0.330","-0.209"
"3.369","8","1834","22.4","19.05","0.331","-0.210"
"3.379","8","1833","22.5","19.05","0.331","-0.210"
"3.389","8","1833","22.6","19.05","0.331","-0.211"
"3.398","8","1833","22.7","19.05","0.329","-0.211"
"3.408","8","1833","22.8","19.05","0.326","-0.212"
"3.418","8","1833","22.9","19.05","0.321","-0.212"
"3.428","8","1833","23.0","19.05","0.315","-0.213"
"3.438","8","1833","23.1","19.05","0.308","-0.214"
"3.447","8","1832","23.1","19.05","0.299","-0.216"
"3.457","8","1832","23.2","19.05","0.279","-0.220"
"3.467","8","1832","23.3","19.05","0.267","-0.222"
"3.477","8","1832","23.4","19.05","0.381","-0.194"
"3.486","9","1832","23.5","19.05","0.362","-0.198"
"3.496","9","1832","23.6","19.05","0.358","-0.199"
"3.506","9","1832","23.6","19.05","0.362","-0.199"
"3.516","9","1832","23.7","19.05","0.368","-0.199"
"3.525","9","1832","23.8","19.05","0.375","-0.198"
"3.535","9","1831","23.9","19.05","0.382","-0.198"
"3.545","9","1831","24.0","19.05","0.389","-0.198"
"3.555","9","1831","24.1","19.05","0.394","-0.199"
"3.564","9","1831","24.1","19.05","0.400","-0.199"
"3.574","9","1831","24.2","19.05","0.404","-0.199"
