"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
"165860.13888888905","2019-01-12T18:41:19.572Z","-7.9427718","-34.91556715","62.489167316612814","12.6405","12.73","3","165"
"165971.3611111113","2019-01-12T18:41:19.682Z","-7.942763149999999","-34.915575849999996","62.52416731661282","12.456","12.55","3","165"
"166000","2019-01-12T18:41:19.710Z","-7.9427610310689305","-34.91557825694306","62.51946701691245","12.421006993007456","12.488501498501849","3","165"
"166138.19444444455","2019-01-12T18:41:19.847Z","-7.9427497","-34.91558775","62.55816731661282","12.132","12.225","3","142"
"166245.0263157895","2019-01-12T18:41:19.957Z","-7.942740649999999","-34.91559515","62.54516731661282","11.891","12.059999999999999","3","142"
"166350.39473684214","2019-01-12T18:41:20.067Z","-7.9427315499999995","-34.91560185","62.52116731661282","11.6095","11.719999999999999","3","142"
"166455.76315789478","2019-01-12T18:41:20.177Z","-7.9427225","-34.91560815","62.53016731661282","11.3245","11.48","3","142"
"166561.13157894742","2019-01-12T18:41:20.287Z","-7.942713449999999","-34.91561425","62.53166731661281","11.075","11.16","3","142"
"166666.50000000006","2019-01-12T18:41:20.397Z","-7.9427043","-34.915619750000005","62.55366731661282","10.8695","10.98","3","142"
"166771.8684210527","2019-01-12T18:41:20.507Z","-7.9426951","-34.915624550000004","62.55216731661282","10.620999999999999","10.765","3","142"
"166800","2019-01-12T18:41:20.536Z","-7.942692540359642","-34.91562577472527","62.55575972420524","10.656996003996065","10.521358641358601","3","142"
"166929.92105263163","2019-01-12T18:41:20.672Z","-7.942681","-34.9156311","62.553167316612814","10.4455","10.57","3","142"
"167035.28947368427","2019-01-12T18:41:20.782Z","-7.94267155","-34.91563445","62.589167316612816","10.169","10.24","3","142"
"167140.65789473688","2019-01-12T18:41:20.892Z","-7.9426619","-34.915637649999994","62.575667316612815","10.114","10.190000000000001","3","138"
"167250.4166666667","2019-01-12T18:41:21.002Z","-7.9426524","-34.91563945","62.60866731661282","9.6405","9.9","3","138"
"167361.63888888893","2019-01-12T18:41:21.112Z","-7.94264285","-34.91564115","62.53616731661282","9.607","9.6","3","138"
"167400","2019-01-12T18:41:21.150Z","-7.942639526873126","-34.91564171388612","62.50483365027909","9.509542457542626","9.71393606393625","3","138"
"167528.4722222223","2019-01-12T18:41:21.277Z","-7.9426289","-34.9156431","62.657667316612816","9.173","9.285","3","138"
"167639.69444444455","2019-01-12T18:41:21.387Z","-7.942619649999999","-34.915643700000004","62.69266731661282","9.105","9.135","3","138"
"167750.9166666668","2019-01-12T18:41:21.497Z","-7.9426108","-34.915643849999995","62.719667316612814","8.771","8.969999999999999","3","138"
"167862.13888888905","2019-01-12T18:41:21.607Z","-7.9426021","-34.91564355","62.68866731661282","8.579","8.67","3","138"
"167900","2019-01-12T18:41:21.644Z","-7.9425992586413585","-34.915643609590404","62.640572911018545","8.331819180819183","8.657452547453099","3","138"
"168028.97222222242","2019-01-12T18:41:21.772Z","-7.9425897","-34.9156422","62.55416731661282","8.337","8.33","3","138"
"168140.19444444455","2019-01-12T18:41:21.882Z","-7.942581499999999","-34.915640350000004","62.51866731661282","8.204","8.3","3","138"
"168251.4166666667","2019-01-12T18:41:21.992Z","-7.9425736","-34.91563805","62.559167316612815","7.9855","8.094999999999999","3","138"
"168362.63888888893","2019-01-12T18:41:22.102Z","-7.942566299999999","-34.91563555","62.53166731661281","7.6835","7.8149999999999995","3","138"
"168400","2019-01-12T18:41:22.139Z","-7.9425637329670336","-34.915634504795214","62.55533914478464","7.616064935064986","7.75281718281728","3","138"
"168529.4722222223","2019-01-12T18:41:22.267Z","-7.94255605","-34.91562915","62.56166731661282","7.5215","7.545","3","138"
"168640.69444444455","2019-01-12T18:41:22.377Z","-7.94254985","-34.9156244","62.55266731661282","7.497999999999999","7.505","3","138"
"168751.9166666668","2019-01-12T18:41:22.487Z","-7.9425442","-34.91561935","62.55966731661282","7.3585","7.42","3","138"
"168863.13888888905","2019-01-12T18:41:22.597Z","-7.94253855","-34.9156145","62.607167316612816","7.2295","7.33","3","138"
"168900","2019-01-12T18:41:22.633Z","-7.942536609190809","-34.91561314405595","62.61591057335613","7.110162837162833","7.220229770229953","3","138"
"169029.97222222242","2019-01-12T18:41:22.762Z","-7.94253115","-34.915606749999995","62.56916731661282","6.9615","7.11","3","138"
"169141.19444444455","2019-01-12T18:41:22.872Z","-7.9425269","-34.91560105","62.60866731661282","6.919499999999999","6.859999999999999","3","138"
"169252.4166666667","2019-01-12T18:41:22.982Z","-7.9425234499999995","-34.9155949","62.599667316612816","6.9315","6.93","3","138"
"169363.63888888893","2019-01-12T18:41:23.092Z","-7.9425206500000005","-34.91558845","62.574167316612815","6.9425","6.9350000000000005","3","138"
"169400","2019-01-12T18:41:23.128Z","-7.942520015384615","-34.91558610769231","62.545551931997444","7.102461538461623","6.900769230769163","3","138"
"169530.4722222223","2019-01-12T18:41:23.257Z","-7.9425173000000004","-34.9155786","62.51116731661282","6.8455","6.985","3","138"
"169641.69444444455","2019-01-12T18:41:23.367Z","-7.94251505","-34.9155721","62.544167316612814","6.8195","6.734999999999999","3","138"
"169752.9166666668","2019-01-12T18:41:23.477Z","-7.9425129","-34.915565900000004","62.44366731661282","6.6105","6.72","3","138"
"169864.13888888905","2019-01-12T18:41:23.587Z","-7.9425107","-34.9155594","62.431167316612814","6.753500000000001","6.77","3","138"
"169900","2019-01-12T18:41:23.622Z","-7.942509913086913","-34.91555777852148","62.40128419972974","6.463232767232191","6.741308691308876","3","138"
"170030.97222222242","2019-01-12T18:41:23.752Z","-7.9425086","-34.91554935","62.39516731661281","6.816000000000001","6.725","3","138"
"170142.19444444455","2019-01-12T18:41:23.862Z","-7.9425080999999995","-34.91554255","62.446167316612815","6.5920000000000005","6.78","3","138"
