cx,cy
-482.293443,591.18507
-477.6239862,587.9419263
-472.9545295,584.6987826
-468.2850727,581.4556389
-463.615616,578.2124952
-458.9461592,574.9693515
-454.2767024,571.7262078
-449.6072457,568.4830641
-444.9377889,565.2399204
-440.7592936,562.4939822
-436.4495744,559.9683225
-432.0160672,557.6668771
-427.4704271,555.5956958
-422.8246034,553.7602234
-418.0908091,552.165285
-413.2814885,550.8150733
-408.4092842,549.7131379
-403.4870042,548.8623753
-398.5275883,548.2650223
-393.5440738,547.9226489
-388.5495613,547.8361554
-383.5571803,548.005769
-378.5800548,548.4310439
-373.6312687,549.1108621
-368.7238314,550.0434365
-363.8706434,551.2263156
-359.0844628,552.6563898
-354.3778716,554.3298997
-349.7632423,556.2424461
-345.252706,558.3890012
-340.8581199,560.7639221
-336.5910365,563.3609657
-332.462673,566.173305
-328.4838822,569.1935467
-324.6651234,572.4137513
-321.0164354,575.8254536
-317.5474098,579.4196848
-314.2671661,583.1869965
-311.1843272,587.1174852
-308.3069974,591.2008184
-305.6427406,595.4262618
-303.1985606,599.7827077
-300.9808826,604.2587038
-298.9955364,608.8424836
-297.2477412,613.5219973
-295.7420915,618.2849434
-294.0960252,623.9977304
-292.5808098,629.2563903
-291.0655945,634.5150502
-289.5503791,639.7737101
-288.0351637,645.03237
-286.5199484,650.2910299
-285.004733,655.5496898
-283.4895176,660.8083497
-281.9743023,666.0670096
-280.4590869,671.3256695
-278.9438715,676.5843294
-277.4286562,681.8429893
-275.9134408,687.1016492
-274.3982254,692.3603091
-272.8830101,697.618969
-271.3677947,702.8776289
-269.8525793,708.1362888
-268.337364,713.3949487
-266.8221486,718.6536085
-265.3069332,723.9122684
-263.7917179,729.1709283
-262.2765025,734.4295882
-260.7612871,739.6882481
-259.6463126,744.6882481
-259.2595059,754.6852331
-259.9623824,759.6468849
-261.2522329,764.4892305
-263.1106293,769.1430878
-265.5110211,773.5419677
-268.419114,777.623024
-271.7933606,781.327951
-275.5855534,784.6038171
-279.7415139,787.4038203
-284.2018662,789.6879573
-288.902886,791.423595
-293.7774103,792.5859364
-298.7557974,793.1583754
-303.7669218,793.1327336
-308.7563901,792.8083794
-313.5742118,792.4951835
-318.3920335,792.1819877
-323.2098552,791.8687918
-328.0276769,791.555596
-332.8454986,791.2424001
-337.6633203,790.9292043
-342.4811419,790.6160084
-347.2989636,790.3028126
-352.1167853,789.9896168
-356.934607,789.6764209
-361.7524287,789.3632251
-366.5702504,789.0500292
-371.3880721,788.7368334
-376.3735933,788.3565991
-381.3692882,787.8625565
-386.3526049,787.2562564
-391.3210213,786.5380058
-396.2720227,785.708168
-401.2031033,784.7671632
-406.1117673,783.7154676
-410.9955302,782.5536135
-415.8519203,781.2821889
-420.6784797,779.9018374
-425.4727654,778.4132575
-430.232351,776.8172027
-434.9548274,775.1144808
-439.6378045,773.3059536
-444.2789122,771.3925364
-448.8758014,769.3751977
-453.4261455,767.2549585
-457.9276414,765.0328919
-462.3780109,762.7101226
-466.7750014,760.2878262
-471.1163875,757.7672286
-475.3999719,755.1496057
-479.6235867,752.4362822
-483.785094,749.6286315
-487.8823876,746.7280746
-491.9133939,743.7360796
-495.8760724,740.6541607
-499.7684178,737.4838779
-503.5884598,734.2268356
-507.3342652,730.8846824
-511.003938,727.4591099
-514.5956209,723.9518518
-518.107496,720.3646832
-521.537786,716.6994197
-524.8847546,712.9579164
-528.1467078,709.142067
-531.3219947,705.2538028
-534.4090081,701.2950917
-537.4061858,697.2679374
-540.3120105,693.1743781
-543.1250118,689.0164856
-545.8437658,684.7963645
-548.4668965,680.5161506
-550.9930762,676.1780103
-553.4210264,671.7841392
-555.7495183,667.3367612
-557.9773732,662.8381272
-560.1034637,658.2905141
-562.1267137,653.6962236
-564.0460991,649.0575809
-565.8606484,644.376934
-567.5694434,639.6566516
-569.171619,634.899123
-570.6663645,630.106756
-572.0529232,625.2819761
-573.3305935,620.4272255
-574.4987286,615.544961
-575.5567373,610.6376539
-576.5040841,605.7077878
-577.3402895,600.7578579
-578.0649304,595.7903695
-578.6776399,590.8078368
-579.178108,585.8127815
-579.5660813,580.8077318
-579.8413635,575.7952209
-580.0038152,570.7777858
-580.0533543,565.757966
-579.9899556,560.738302
-579.8705416,555.738302
-579.7522674,550.7860301
-579.6339932,545.8337581
-579.515719,540.8814862
-579.3974448,535.9292143
-579.2791706,530.9769424
-579.1608964,526.0246704
-579.0426223,521.0723985
-578.9243481,516.1201266
-578.8060739,511.1678547
-578.6877997,506.2155827
-578.5695255,501.2633108
-578.4512513,496.3110389
-578.3329771,491.3587669
-578.2147029,486.406495
-578.0964288,481.4542231
-577.9781546,476.5019512
-577.8598804,471.5496792
-577.7416062,466.5974073
-577.623332,461.6451354
-577.5050578,456.6928635
-577.3867836,451.7405915
-577.2685095,446.7883196
-577.1502353,441.8360477
-577.0319611,436.8837757
-576.9136869,431.9315038
-576.7954127,426.9792319
-576.6771385,422.02696
-576.5588643,417.074688
-576.4405901,412.1224161
-576.322316,407.1701442
-576.1693839,402.1724835
-575.9471742,397.1341334
-575.6567579,392.0992542
-575.2981882,387.0687694
-574.8715309,382.0436014
-574.3768641,377.0246718
-573.8142785,372.0129009
-573.1838775,367.0092078
-572.4857765,362.0145101
-571.7201036,357.0297238
-570.8869992,352.0557629
-569.986616,347.0935396
-569.0191192,342.1439639
